customer_id,contract_id,contract_ref_id,associated_line,contract_description,from_date,to_date,associated_line_fmt
46,131,101,+1 (612) 879-9893,Unlimited call,2015-10-23 13:27:58.000,2016-01-27 16:25:44.000,16128799893
47,132,108,(967) 879-6102,5G 3G,2015-11-13 04:45:38.000,2016-11-04 04:43:12.000,9678796102
48,133,108,856-959-4759,5G 3G,2015-07-19 01:40:51.000,2016-04-05 06:53:47.000,8569594759
48,134,102,(902) 974-5203,Unlimited text,2015-11-19 18:19:46.000,2016-02-09 14:46:25.000,9029745203
49,135,105,+1 (943) 255-4708,10G LTE,2016-06-30 09:10:40.000,2015-04-30 00:05:46.000,19432554708
49,136,104,801-477-1238,5G,2016-02-13 05:41:29.000,2016-10-19 16:39:05.000,8014771238
50,137,109,531 965 1495,Roaming special,2016-08-21 15:22:08.000,2015-08-04 01:08:08.000,5319651495
52,138,101,+1 (307) 389-7185,Unlimited call,2016-03-04 16:32:31.000,2015-10-17 21:11:48.000,13073897185
52,139,108,797-167-1220,5G 3G,2016-09-30 06:50:37.000,2016-10-19 01:51:25.000,7971671220
53,140,108,(222) 711-7510,5G 3G,2016-11-24 00:50:09.000,2016-04-07 22:50:07.000,2227117510
55,141,101,+1 (343) 842-1521,Unlimited call,2016-10-03 06:17:03.000,2015-12-28 05:19:58.000,13438421521
55,142,102,680 463 5417,5G tether,2016-04-10 11:08:02.000,2015-09-19 20:17:11.000,6804635415
55,143,108,5846694228,5G 3G,2016-04-19 15:39:43.000,2015-10-02 09:30:30.000,5846694228
55,144,110,6664278654,5G tether,2016-02-18 14:16:49.000,2016-06-11 19:33:31.000,6664278654
55,145,106,(820) 633-6790,5G LTE,2015-09-22 00:37:59.000,2015-03-15 08:40:42.000,8206336790
56,146,105,365-118-5250,10G LTE,2016-02-16 12:29:11.000,2015-06-07 15:41:30.000,3651185250
56,147,109,929 475 9658,Roaming special,2015-03-03 20:32:19.000,2017-01-11 13:02:40.000,9294759658
57,148,103,918 207 5043,450 min,2017-02-06 20:03:38.000,2016-08-15 15:25:28.000,9182075043
57,149,102,170-714-6108,Unlimited text,2015-09-22 20:49:13.000,2016-02-02 06:05:34.000,1707146108
57,150,101,+1 (498) 245-7318,Unlimited call,2016-03-15 08:22:11.000,2015-09-19 16:42:24.000,14982457318
58,151,105,+1 (456) 588-9864,10G LTE,2015-03-16 21:51:16.000,2015-08-26 21:01:25.000,14565889864
58,152,107,(270) 189-6114,10G 3G,2016-06-28 13:29:11.000,2015-03-27 06:41:24.000,2701896114
58,153,104,+1 (447) 888-7064,100 text,2016-02-06 21:37:02.000,2015-08-23 04:23:38.000,14478887064
58,154,106,(190) 521-7647,5G LTE,2017-02-17 04:49:19.000,2016-08-22 08:02:17.000,1905217647
58,155,107,(936) 595-1612,10G 3G,2015-10-22 18:45:28.000,2015-09-07 03:19:16.000,9365951612
60,156,107,2196821314,10G 3G,2016-11-10 17:39:36.000,2017-01-25 01:17:15.000,2196821314
60,157,109,368 492 4457,Roaming special,2015-09-15 09:13:24.000,2016-06-07 05:56:20.000,3684924457
61,158,106,3285627144,5G LTE,2016-09-17 04:12:38.000,2016-10-05 07:52:12.000,3285627144
61,159,108,1764002030,5G 3G,2016-04-12 18:48:46.000,2016-04-08 21:14:36.000,1764002030
61,160,102,+1 (531) 830-2206,Unlimited text,2017-01-26 23:20:07.000,2015-07-30 22:40:39.000,15318302206
62,161,103,9407311152,450 min,2015-01-23 02:44:13.000,2016-06-17 10:14:36.000,9407311152
62,162,105,(841) 941-9974,10G LTE,2016-12-26 09:18:37.000,2015-01-04 04:23:48.000,8419419974
62,163,101,+1 (373) 490-8687,Unlimited call,2016-07-05 23:07:32.000,2016-06-15 03:22:17.000,13734908687
62,164,108,(908) 713-8857,5G 3G,2016-07-18 22:42:21.000,2016-03-06 21:15:11.000,9087138857
63,165,110,(699) 108-7339,5G tether,2016-05-21 14:07:59.000,2015-06-19 01:15:32.000,6991087339
63,166,102,+1 (134) 244-3190,Unlimited text,2016-01-27 09:40:04.000,2015-08-17 23:26:40.000,11342443190
63,167,103,6915625335,450 min,2016-02-04 20:12:21.000,2015-02-06 22:46:09.000,6915625335
63,168,108,1228395545,5G 3G,2015-06-10 10:44:45.000,2015-05-20 19:55:23.000,1228395545
65,169,109,719 764 1363,Roaming special,2016-04-23 11:33:48.000,2016-02-11 11:56:38.000,7197641363
65,170,110,404 376 5891,5G tether,2016-09-03 13:20:32.000,2016-02-27 22:07:07.000,4043765891
65,171,109,(248) 143-7235,Roaming special,2015-09-07 13:02:20.000,2016-04-02 06:45:25.000,2481437235
65,172,102,342-203-6253,Unlimited text,2015-01-25 19:58:56.000,2016-07-08 01:44:12.000,3422036253
65,173,110,+1 (929) 454-2178,5G tether,2016-09-12 09:30:13.000,2015-11-09 23:04:56.000,19294542178
66,174,102,567-540-7514,Unlimited text,2015-11-13 00:28:01.000,2016-10-03 17:15:19.000,5675407514
66,175,102,854 182 9711,Unlimited text,2016-04-29 05:30:51.000,2015-10-30 15:57:25.000,8541829711
67,176,102,197 593 4506,Unlimited text,2016-03-24 00:31:47.000,2016-01-11 07:31:55.000,1975934506
67,177,110,933-403-4093,5G tether,2015-11-06 06:59:57.000,2016-11-27 21:20:15.000,9334034093
67,178,107,917 818 1185,10G 3G,2016-09-01 12:13:13.000,2015-02-15 23:36:32.000,9178181185
67,179,104,779 369 2280,100 text,2016-04-25 07:48:42.000,2015-01-26 09:46:51.000,7793692280
68,180,103,(118) 662-3162,450 min,2016-04-03 15:04:55.000,2015-03-12 11:12:29.000,1186623162
71,181,107,+1 (110) 386-4702,10G 3G,2015-12-24 10:05:42.000,2015-11-10 09:17:25.000,11103864702
72,182,105,3407715618,10G LTE,2016-09-17 16:02:05.000,2016-04-02 04:40:35.000,3407715618
72,183,108,471 266 2724,5G 3G,2015-02-17 19:29:26.000,2016-05-08 19:35:40.000,4712662724
72,184,107,409-383-8004,10G 3G,2015-10-12 02:47:28.000,2016-06-14 13:24:07.000,4093838004
73,185,103,2243506118,450 min,2016-02-06 10:27:40.000,2017-02-15 02:31:57.000,2243506118
73,186,107,177 898 6079,10G 3G,2016-06-11 22:48:32.000,2016-01-22 12:16:05.000,1778986079
73,187,103,9374086994,450 min,2016-06-12 11:13:39.000,2015-04-02 01:58:15.000,9374086994
74,189,106,122 299 1702,5G LTE,2016-12-09 13:52:58.000,2016-11-25 07:43:01.000,1222991702
74,190,103,7776837625,450 min,2017-01-04 23:51:19.000,2016-05-30 05:53:56.000,7776837625
74,191,109,+1 (410) 182-4266,Roaming special,2015-11-08 08:06:52.000,2015-07-24 01:43:19.000,14101824266
74,192,105,217-896-7812,10G LTE,2016-11-24 07:41:21.000,2015-12-07 03:38:21.000,2178967812
75,194,104,3929711373,100 text,2015-11-14 02:01:55.000,2015-01-23 17:53:14.000,3929711373
75,195,107,+1 (562) 271-3053,10G 3G,2015-05-04 16:27:21.000,2015-08-25 07:57:04.000,15622713053
76,197,108,7432027485,5G 3G,2016-09-22 18:47:12.000,2016-10-31 19:30:10.000,7432027485
76,198,104,(885) 418-1946,100 text,2015-07-03 08:41:41.000,2017-02-21 07:29:06.000,8854181946
76,199,106,(958) 733-2828,5G LTE,2015-05-04 12:09:31.000,2015-10-01 17:03:43.000,9587332828
76,200,110,520 957 2503,5G tether,2015-10-13 08:55:30.000,2015-03-16 21:06:23.000,5209572503
79,202,103,191 714 8527,450 min,2015-07-01 07:13:55.000,2015-02-02 22:34:59.000,1917148527
79,203,105,+1 (668) 729-5083,10G LTE,2015-11-13 04:42:02.000,2015-08-10 00:45:34.000,16687295083
81,205,109,261 122 2863,Roaming special,2015-03-17 01:00:18.000,2016-05-17 05:51:19.000,2611222863
81,206,103,(663) 752-8486,450 min,2015-09-08 08:14:00.000,2017-02-09 11:39:10.000,6637528486
81,207,108,+1 (771) 656-1305,5G 3G,2015-10-23 20:29:11.000,2016-05-01 10:56:12.000,17716561305
82,209,110,740-735-6506,5G tether,2016-03-24 06:39:20.000,2015-03-15 23:59:30.000,7407356506
82,210,104,8326936580,100 text,2017-01-02 12:27:51.000,2015-09-08 18:39:16.000,8326936580
82,211,108,+1 (584) 226-3804,5G 3G,2015-09-05 02:04:31.000,2015-08-27 00:37:59.000,15842263804
83,213,102,6288179001,Unlimited text,2015-12-20 12:51:09.000,2015-06-27 21:54:28.000,6288179001
84,214,103,(165) 985-3559,450 min,2015-09-07 00:52:14.000,2015-06-28 21:15:27.000,1659853559
84,215,107,3907557449,10G 3G,2017-02-16 22:43:00.000,2015-10-20 12:05:21.000,3907557449
85,216,107,9542472837,10G 3G,2016-11-22 13:09:12.000,2017-01-16 02:04:11.000,9542472837
86,218,108,921-327-8787,5G 3G,2016-01-02 03:54:25.000,2015-12-11 16:34:53.000,9213278787
86,219,103,541-984-7968,450 min,2015-05-29 03:31:21.000,2016-11-01 20:52:32.000,5419847968
86,220,105,691 198 1013,10G LTE,2016-02-25 02:27:01.000,2015-10-09 16:35:39.000,6911981013
86,222,109,183-706-1576,Roaming special,2016-12-13 09:22:38.000,2016-02-28 18:54:53.000,1837061576
87,223,105,+1 (502) 391-1184,10G LTE,2016-09-08 02:11:11.000,2015-10-08 06:05:49.000,15023911184
87,225,102,468 679 2892,Unlimited text,2016-05-05 11:31:22.000,2015-10-01 03:51:53.000,4686792892
87,226,101,4449676001,Unlimited call,2016-08-03 00:37:23.000,2015-03-18 11:38:47.000,4449676001
88,227,108,955-633-7430,5G 3G,2016-09-18 16:57:04.000,2015-04-15 21:58:33.000,9556337430
88,228,110,173-835-3325,5G tether,2015-08-04 19:22:03.000,2016-02-13 10:17:31.000,1738353325
88,229,105,4483437657,10G LTE,2016-01-19 10:26:42.000,2015-07-10 13:58:03.000,4483437657
89,231,104,(122) 997-6918,100 text,2016-07-28 19:31:37.000,2015-06-07 23:42:48.000,1229976918
89,232,101,921-253-5000,Unlimited call,2015-03-06 01:57:26.000,2015-01-04 13:02:37.000,9212535000
89,233,109,873-954-5844,Roaming special,2016-05-17 08:59:41.000,2015-07-30 14:40:09.000,8739545844
90,235,108,973 658 3236,5G 3G,2015-11-14 06:30:38.000,2015-05-15 15:44:44.000,9736583236
91,236,106,425-719-8286,5G LTE,2016-06-17 02:13:06.000,2016-01-13 08:50:57.000,4257198286
91,237,106,2205024619,5G LTE,2015-07-07 08:00:38.000,2017-01-29 20:56:49.000,2205024619
91,238,110,3753079428,5G tether,2016-02-09 07:08:38.000,2015-08-25 23:22:04.000,3753079428
92,240,109,634 410 9374,Roaming special,2015-06-25 06:20:25.000,2017-01-18 02:14:28.000,6344109374
92,241,102,+1 (185) 988-5780,Unlimited text,2015-01-30 16:31:11.000,2015-05-11 21:04:20.000,11859885780
93,242,108,8975844493,5G 3G,2015-04-22 06:06:31.000,2016-05-07 14:05:29.000,8975844493
94,243,107,458-515-7518,10G 3G,2016-02-02 12:15:13.000,2015-02-22 08:06:34.000,4585157518
94,245,106,224 418 6100,5G LTE,2015-02-25 20:10:46.000,2015-09-29 12:39:46.000,2244186100
95,246,107,569-929-7148,10G 3G,2016-02-19 07:25:39.000,2017-01-09 15:12:16.000,5699297148
95,247,109,(592) 983-8274,Roaming special,2015-01-24 20:05:28.000,2017-02-07 19:53:57.000,5929838274
97,248,103,(776) 621-4999,450 min,2015-01-21 05:54:53.000,2015-01-24 11:57:08.000,7766214999
99,250,105,916 584 4721,10G LTE,2016-04-09 10:29:56.000,2015-01-24 01:05:39.000,9165844721
99,251,110,898 835 4315,5G tether,2016-07-05 10:57:47.000,2015-11-22 15:40:54.000,8988354315
99,252,110,104-619-7568,5G tether,2015-03-10 23:43:23.000,2016-09-11 11:08:17.000,1046197568
100,254,109,435 832 2192,Roaming special,2016-01-03 12:02:09.000,2015-10-25 08:03:01.000,4358322192
100,255,107,+1 (970) 457-2795,10G 3G,2015-05-11 16:45:24.000,2016-06-18 22:18:43.000,19704572795
100,256,107,8691308986,10G 3G,2015-10-20 05:05:24.000,2015-04-10 22:55:25.000,8691308986
101,258,109,360-945-2411,Roaming special,2016-09-30 10:44:41.000,2016-01-24 20:57:04.000,3609452411
101,259,101,(326) 981-1699,Unlimited call,2016-08-09 20:06:06.000,2016-07-30 20:54:01.000,3269811699
101,260,110,7737086450,5G tether,2015-05-05 12:11:04.000,2015-03-06 11:30:17.000,7737086450
103,261,108,9042626911,5G 3G,2015-07-23 18:44:07.000,2016-03-29 15:12:37.000,9042626911
103,262,108,643-221-4286,5G 3G,2016-09-04 03:15:52.000,2015-12-26 02:40:39.000,6432214286
104,263,106,712-246-2501,5G LTE,2015-01-21 07:28:05.000,2016-01-11 19:46:42.000,7122462501
104,264,107,5283416715,10G 3G,2016-03-13 19:08:18.000,2015-04-09 12:45:16.000,5283416715
104,265,102,(125) 719-7732,Unlimited text,2015-11-30 00:48:09.000,2016-03-09 04:16:43.000,1257197732
104,266,101,965 680 1010,Unlimited call,2015-06-19 01:06:43.000,2015-10-09 19:44:15.000,9656801010
104,267,110,5316636576,5G tether,2016-05-03 08:23:35.000,2015-05-21 08:19:40.000,5316636576
105,268,105,4658771029,10G LTE,2015-05-23 02:59:30.000,2017-02-23 13:02:11.000,4658771029
107,269,107,(933) 602-2911,10G 3G,2016-09-06 08:50:51.000,2016-09-17 11:23:41.000,9336022911
107,270,103,+1 (279) 409-4376,450 min,2015-01-22 13:35:43.000,2017-01-12 11:15:59.000,12794094376
107,271,102,3772569367,Unlimited text,2015-01-10 05:35:10.000,2016-03-28 16:38:36.000,3772569367
107,272,108,+1 (863) 871-3107,5G 3G,2017-02-04 06:49:34.000,2016-05-16 12:18:50.000,18638713107
108,273,103,2556523733,450 min,2015-07-10 21:09:36.000,2017-02-08 02:28:16.000,2556523733
108,274,110,285-739-8405,5G tether,2017-01-26 17:49:06.000,2016-08-21 07:20:37.000,2857398405
108,275,102,(762) 378-4240,Unlimited text,2016-02-25 02:01:07.000,2016-04-20 10:42:09.000,7623784240
109,276,102,936 394 2331,Unlimited text,2015-02-25 21:50:02.000,2015-09-04 19:40:44.000,9363942331
109,277,107,402 630 1864,10G 3G,2015-03-28 13:46:17.000,2016-05-17 07:01:33.000,4026301864
109,278,103,217-858-4433,450 min,2015-06-13 22:06:23.000,2015-02-04 15:17:43.000,2178584433
109,279,105,215-807-3398,10G LTE,2015-11-20 22:54:42.000,2015-06-25 14:29:01.000,2158073398
110,280,108,327-742-3677,5G 3G,2017-01-07 08:00:50.000,2015-09-27 07:41:15.000,3277423677
110,281,107,8719118926,10G 3G,2016-02-13 03:14:06.000,2015-10-26 11:34:44.000,8719118926
111,282,105,+1 (522) 976-6696,10G LTE,2016-02-26 20:42:44.000,2015-10-17 22:31:35.000,15229766696
111,283,107,+1 (304) 644-9714,10G 3G,2015-05-26 13:15:10.000,2016-03-25 05:48:05.000,13046449714
111,284,104,261 206 7760,100 text,2015-11-27 23:00:26.000,2016-11-04 02:36:32.000,2612067760
112,285,102,9685988982,Unlimited text,2015-08-09 21:14:10.000,2016-10-08 07:18:20.000,9685988982
112,286,101,362-145-8893,Unlimited call,2015-12-22 17:00:36.000,2016-06-07 20:07:48.000,3621458893
112,287,102,2901004093,Unlimited text,2015-07-30 18:44:11.000,2015-09-21 01:03:34.000,2901004093
112,288,103,202-827-4312,450 min,2016-06-04 02:55:08.000,2016-08-11 09:19:38.000,2028274312
112,289,101,(792) 924-3070,Unlimited call,2015-11-15 16:29:58.000,2015-09-02 14:36:12.000,7929243070
113,290,102,507-652-7503,Unlimited text,2015-02-14 19:16:24.000,2016-12-19 09:45:21.000,5076527503
113,291,107,831 178 4921,10G 3G,2016-05-09 01:41:27.000,2016-12-16 11:52:18.000,8311784921
113,292,101,442-906-9842,Unlimited call,2016-08-21 23:55:41.000,2016-02-25 14:03:06.000,4429069842
113,293,101,+1 (383) 948-5069,Unlimited call,2016-05-25 04:40:48.000,2015-01-25 22:44:01.000,13839485069
113,294,109,732-247-9732,Roaming special,2015-02-05 16:59:08.000,2017-01-19 13:28:41.000,7322479732
114,295,102,3555774462,Unlimited text,2016-07-25 22:34:42.000,2016-12-04 02:44:54.000,3555774462
114,296,104,+1 (401) 297-8170,100 text,2016-11-19 10:04:45.000,2016-07-16 03:09:45.000,14012978170
114,297,110,8725546576,5G tether,2015-02-21 22:18:07.000,2016-01-07 02:24:04.000,8725546576
114,298,103,859-217-8303,450 min,2016-08-15 09:48:02.000,2015-09-19 05:38:48.000,8592178303
115,299,103,389-744-9251,450 min,2016-02-06 03:05:02.000,2016-06-08 22:10:52.000,3897449251
115,300,107,(686) 672-8817,10G 3G,2017-01-17 12:55:42.000,2016-05-29 08:40:12.000,6866728817
115,301,109,401 384 5245,Roaming special,2016-12-09 03:59:45.000,2015-05-19 15:36:46.000,4013845245
115,302,103,(275) 375-3070,450 min,2015-03-11 22:29:32.000,2017-02-20 09:31:09.000,2753753070
115,303,110,(267) 408-8778,5G tether,2016-08-27 04:39:52.000,2015-03-26 17:02:45.000,2674088778
116,304,102,5849906602,Unlimited text,2015-07-30 15:14:25.000,2015-11-24 07:46:09.000,5849906602
117,305,108,289 331 4207,5G 3G,2015-03-17 12:24:02.000,2016-05-25 09:12:44.000,2893314207
118,306,108,(421) 184-4289,5G 3G,2016-02-13 05:59:31.000,2016-04-25 03:21:15.000,4211844289
118,307,108,577-139-9704,5G 3G,2016-07-25 21:31:06.000,2016-02-24 11:07:05.000,5771399704
118,308,107,8504192898,10G 3G,2016-05-15 20:31:02.000,2015-02-09 07:30:51.000,8504192898
118,309,108,(761) 513-5779,5G 3G,2016-08-28 08:37:40.000,2017-02-22 08:02:06.000,7615135779
120,310,103,774-823-3824,450 min,2016-11-04 08:40:21.000,2016-06-25 20:29:54.000,7748233824
120,311,110,530-705-2132,5G tether,2016-07-21 08:03:08.000,2015-09-13 02:54:24.000,5307052132
120,312,104,1669483537,100 text,2015-04-16 22:54:53.000,2015-09-13 05:02:30.000,1669483537
121,313,102,(400) 879-4036,Unlimited text,2015-11-15 08:30:54.000,2016-10-29 06:27:19.000,4008794036
123,314,110,133-449-7208,5G tether,2015-04-21 23:18:37.000,2016-02-14 01:09:04.000,1334497208
123,315,105,273 306 5432,10G LTE,2015-06-29 01:12:04.000,2015-03-03 08:49:20.000,2733065432
123,316,103,(725) 975-4520,450 min,2016-07-22 23:36:27.000,2015-04-10 10:27:33.000,7259754520
123,317,101,+1 (568) 215-4997,Unlimited call,2015-06-28 17:54:53.000,2016-09-20 06:09:09.000,15682154997
123,318,102,3573378057,Unlimited text,2015-02-13 04:58:39.000,2016-11-21 00:18:55.000,3573378057
124,319,109,(786) 343-9695,Roaming special,2015-08-20 01:59:07.000,2016-02-28 04:42:12.000,7863439695
124,320,101,6664307450,Unlimited call,2016-11-06 04:45:55.000,2016-04-30 05:36:45.000,6664307450
124,321,103,183 387 3120,450 min,2016-07-07 18:58:17.000,2017-02-16 20:13:45.000,1833873120
